Číslo inzerátu:,Internet:,Dispozice:,Plocha:,Cena:,Poplatky:,Vratná kauce:,Město:,Městská část:,Typ vlastnictví:,Typ budovy:,Vybavenost:,Podlaží:,Balkón:,Terasa:,Výtah:,Garáž:,Provedení:,Typ vytápění:,Podlaží v rámci domu:,Předzahrádka:,Rekonstrukce:,lat,long,K dispozici od:,PENB:,Stáří:,Novostavba:
622658,,1+kk,30.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622664,,1+1,33.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622653,,3+kk,95.0,21427.0,7.142 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ano,Ne,,,,,,50.0925586,14.4361181,22. 09. 2020,,,
622700,,4+1,120.0,54150.0,18.050 Kč,,Praha,Nové Město,,,Vybavený,6,Ano,Ne,Ano,Ne,,,,,,50.0765717,14.4190289,21. 09. 2020,,,
622657,,2+kk,38.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622878,,2+1,63.0,30000.0,10.000 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ne,Ne,,,,,,50.0896055,14.4334254,21. 09. 2020,,,
622592,,2+kk,45.0,21450.0,7.150 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0913707,14.4312801,21. 09. 2020,,,
622867,,2+1,76.0,38475.0,12.825 Kč,,Praha,Nové Město,,,Vybavený,1,Ne,Ne,Ne,Ano,,,,,,50.0742352,14.4173737,21. 09. 2020,,,
622843,,4+1,132.0,35925.0,11.975 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ano,Ano,,,,,,50.0729359,14.4275158,21. 09. 2020,,,
626426,,2+kk,46.0,20475.0,6.825 Kč,,Praha,Nové Město,,,Vybavený,6,Ne,Ano,Ne,Ne,,,,,,50.0923827,14.4343624,21. 09. 2020,,,
625648,,2+kk,45.0,13868.0,4.622 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ne,Ne,,,,,,50.0747395,14.424046,21. 09. 2020,,,
625292,,2+kk,80.0,16875.0,5.625 Kč,,Praha,Nové Město,,,Vybavený,3,Ne,Ne,Ano,Ne,,,,,,50.0858551,14.436173,21. 09. 2020,,,
626545,,3+kk,90.0,41250.0,13.750 Kč,,Praha,Nové Město,,,Vybavený,5,Ano,Ne,Ano,Ne,,,,,,50.0805142,14.4148695,21. 09. 2020,,,
626530,,3+kk,90.0,37500.0,12.500 Kč,,Praha,Nové Město,,,Vybavený,4,Ano,Ne,Ano,Ne,,,,,,50.080428,14.4149266,21. 09. 2020,,,
601564,,1+kk,31.0,15900.0,2.000 Kč,17.900 Kč,Praha,Nové Město,Osobní,Cihla,,5,Ano,Ne,Ano,Ano,,,,,,50.066365,14.423325,10. 08. 2020,B,,
626158,,Garsoniéra,21.0,10000.0,2.000 Kč,10.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,centrální,,,vše,50.076481,14.423242,21. 09. 2020,C,1 - 10,
622800,,1+kk,30.0,26250.0,8.750 Kč,,Praha,Nové Město,,,Vybavený,7,Ne,Ne,Ano,Ano,,,,,,50.0802704,14.4260824,21. 09. 2020,,,
624852,,1+kk,40.0,14663.0,4.887 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ano,Ne,Ne,,,,,,50.0809579,14.4249745,01. 10. 2020,,,
626505,,2+kk,55.0,16920.0,5.640 Kč,,Praha,Nové Město,,,Vybavený,-1,Ne,Ne,Ne,Ne,,,,,,50.0732067,14.4301679,22. 09. 2020,,,
622654,,2+kk,50.0,16877.0,5.625 Kč,,Praha,Nové Město,,,Vybavený,6,Ano,Ano,Ano,Ne,,,,,,50.0923827,14.4343624,21. 09. 2020,,,
622641,,1+1,70.0,14291.0,4.764 Kč,,Praha,Nové Město,,,Vybavený,1,Ne,Ne,Ano,Ne,,,,,,50.0923827,14.4343624,21. 09. 2020,,,
622856,,4+kk,112.0,33750.0,11.250 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ano,Ano,Ne,,,,,,50.0806286,14.4175374,21. 09. 2020,,,
